Language,Generated_ParticipantID,Duration (in seconds),Q1,Q1_Other,Q2,Q3,Q4,Q5,Q6,Q7,Q7_Other,Q8,Q9,Q10,Q10_Other,Q11,Q11_Other,Q12,Q13_Small,Q13_Mid,Q13_Large,Q14_Small,Q14_Mid,Q14_Large,Q15_Local,Q15_State,Q15_Federal,Q16,Q16_Other,Q17,Q18,Q18_Other,Q19,Q20,Q20_Other,Q21,Q21_Other,Q22,Q23,Q24,Q24_Other,Q25,Q25_Other,Q26,Q26_Other,Q27,Q27_Number,Q28,Q28_Other,Q29,Q30,Q31,Q32,Q33,Q34,Q35_City,Q35_Zip
English,46411109,1444,"Neighborhood beautification,Improved air quality,Improved soil quality",,Long-standing water bodies,,No,Never,Never,"Heavy rainfall or storms,Inadequate stormwater infrastructure size",,$0 ,Less than or at ankle level,Loss of work or income,,Raised the foundation of my house,,I have not seen any of the GSI examples in my community,Rain garden,Nature-based detention pond,Large park,1,2,3,Yes,Yes,Yes,State of Texas,,,High installment costs,,Very satisfied,"More frequent updates on local flood risks,More detailed information about flood preparedness,Better access to emergency resources and assistance",,"Establishing community advisory boards,Involving local schools and community groups",,I attend most meetings,Not at all involved,Other:,,Community bulletin posts,,From a neighbor,,Please type a number,56,Black or African American,,No,Prefer not to answer,Over 20 years,Some college,Prefer not to answer,I do not rent or own my home.,Houston,77020
English,43788466,796,"Neighborhood beautification,Increased property value,Stress reduction",,,,Yes,Sometimes (once every 2-6 months),Rarely (once a year or less),"Heavy rainfall or storms,Blocked or clogged drainage systems,Nearby waterways overflowing",,$500-$1000,Less than or at ankle level,"Mental health impact,Prevented or delayed access to essential services,Increased cost for repairs or flood proofing",,"Raised the foundation of my house,Requested assistance from local government to improve drainage,Only my landlord can take action to address or reduce flooding at my residence",,"Large park,Rain garden,Rainwater harvesting","Permeable pavement,Rain garden,Rainwater harvesting","Pocket prairie,Pocket wetland","Wetland conservation,Wetland restoration (inland or coastal)",,,3,Yes,Yes,Yes,City of Houston and other Municipalities (Municipal Utility District MUDs),,No trust,"High installment costs,Increased taxes,Lack of educational resources for the community,Maintenance issues,Space requirements",,Not at all satisfied,"More frequent updates on local flood risks,More detailed information about flood preparedness,Better access to emergency resources and assistance,Increased opportunities for community feedback,Enhanced coordination with other local organizations/agencies,More targeted outreach to vulnerable populations,Improved use of technology for flood risk information,Improved translation and accessibility information for non-English speakers",,"Better information sharing,Establishing community advisory boards,Involving local schools and community groups,Providing resources for community action,Compensation for time,Host more regular and diverse community meetings representative of the community,Providing multilingual interpretation services,Providing child care",,I attend most meetings,Very involved,West Street Recovery (WSR),,Phone Calls,,From a neighbor,,Please type a number,42,Black or African American,,No,None of the above,1-5 years,High school diploma or equivalent,<$10000,I rent my home.,Houston,77020
English,33233526,6185,"Neighborhood beautification,Improved stormwater quality,Recreation",,"Long-standing water bodies,Aquatic (water) plants,Wildlife commonly found near water",(1) Lake Houston Flatwood Wetlands,I do not know,Always (every time it rains),Often (At least once a month),"Blocked or clogged drainage systems,Inadequate stormwater infrastructure size,Other:",Saturated grounds,>$20000,Less than or at ankle level,"Property damage,Increased cost for repairs or flood proofing",,"Engaged with local authorities around flooding issues,Other:","Extensive foundation repair, and wall sealing",Pocket wetland,Rain garden,Urban forestry,Large park,2,1,3,Yes,Yes,Yes,Local city planning departments,,Moderate trust,There are no concerns,,Slightly satisfied,More detailed information about flood preparedness,,Providing resources for community action,,There are no meetings available related to this topic,Not at all involved,I am not part of any organizations focused on drainage and flooding issues,,Phone Calls,,From Bayou City Waterkeeper,,Please type a number,57,Black or African American,,No,None of the above,1-5 years,Associate's Degree or Technical Degree/Certification,$100000-$149999,I own my home.,Baytown,77520
English,11033513,4050,"Neighborhood beautification,Improved stormwater quality,Increased property value",,"Aquatic (water) plants,A drainage ditch nearby",(1) Lake Houston Flatwood Wetlands,Yes,Sometimes (once every 2-6 months),Sometimes (once every 2-6 months),"Blocked or clogged drainage systems,Inadequate stormwater infrastructure size,Nearby waterways overflowing",,>$20000,Between ankle and knee level,"Mental health impact,Prevented or delayed access to essential services,Increased cost for repairs or flood proofing",,"Raised the foundation of my house,Requested assistance from local government to improve drainage,Engaged with local authorities around flooding issues",,"Permeable pavement,Pocket prairie,Rainwater harvesting,Urban forestry","Rain garden,Rainwater harvesting","Pocket prairie,Pocket wetland","Wetland conservation,Wetland restoration (inland or coastal)",,2,,Yes,Yes,Yes,State of Texas,,Above average trust,"Equity in implementation,Lack of educational resources for the community",,Extremely satisfied,"More targeted outreach to vulnerable populations,Improved translation and accessibility information for non-English speakers",,"Better information sharing,Providing resources for community action,Providing multilingual interpretation services",,I attend most meetings,Very involved,My local neighborhood association or homeowners association (HOA),,Facebook Posts,,From a neighbor,,Please type a number,52,White,,Yes,I live in a non-English proficient household,Over 20 years,Less than a high school diploma or equivalent,$35000-$49999,I own my home.,Houston,77076
English,23196583,14248,"Neighborhood beautification,Improved stormwater quality,Improved soil quality",,"Aquatic (water) plants,A creek nearby,Wildlife commonly found near water",(1) Lake Houston Flatwood Wetlands,No,Rarely (once a year or less),Always (every time it rains),"Heavy rainfall or storms,Blocked or clogged drainage systems,Aging infrastructure",,$0 ,Less than or at ankle level,I have not experienced any of these events,,"Requested assistance from local government to improve drainage,Engaged with local authorities around flooding issues",,"Bioswale,Large park,Pocket wetland,Wetland conservation",Permeable pavement,Urban forestry,Large park,3,1,2,Yes,Yes,Yes,Local city planning departments,,Slight trust,"Equity in implementation,Lack of educational resources for the community,Maintenance issues,Not fitting into community look/aesthetic",,Not at all satisfied,"More frequent updates on local flood risks,More detailed information about flood preparedness,Better access to emergency resources and assistance,Increased opportunities for community feedback,Improved use of technology for flood risk information,Improved translation and accessibility information for non-English speakers",,"Better information sharing,Establishing community advisory boards,Providing resources for community action,Providing multilingual interpretation services",,I occasionally attend meetings,Not at all involved,Bayou City Waterkeeper (BCWK),,Facebook Posts,,From Bayou City Waterkeeper,,Please type a number,49,White,,Yes,None of the above,Over 20 years,Bachelor's Degree,$50000-$74999,I own my home.,Baytown,77520
English,16888300,25510,"Improved air quality,Improved stormwater quality,Recreation",,"Aquatic (water) plants,Wildlife commonly found near water,Consistently-saturated soil",(1) Lake Houston Flatwood Wetlands,Yes,Often (At least once a month),Sometimes (once every 2-6 months),"Heavy rainfall or storms,Blocked or clogged drainage systems,Aging infrastructure",,$1000-$5000,Less than or at ankle level,"Mental health impact,Prevented or delayed access to essential services",,Requested assistance from local government to improve drainage,,"Nature-based detention pond,Pocket prairie,Rain garden","Rain garden,Rainwater harvesting",Nature-based detention pond,"Large park,Wetland conservation",3,2,1,Yes,Yes,Yes,Local city planning departments,,Slight trust,"Attracting unwanted pests,Equity in implementation,Displacement due to environmental projects,High installment costs,Increased taxes,Lack of educational resources for the community,Maintenance issues",,Not at all satisfied,"More frequent updates on local flood risks,Better access to emergency resources and assistance,Increased opportunities for community feedback,Enhanced coordination with other local organizations/agencies,More targeted outreach to vulnerable populations,Improved translation and accessibility information for non-English speakers",,"Better information sharing,Establishing community advisory boards,Providing resources for community action,Compensation for time,Host more regular and diverse community meetings representative of the community,Providing multilingual interpretation services,Providing child care",,I attend most meetings,Very involved,"Bayou City Waterkeeper (BCWK),West Street Recovery (WSR),Coalition for Environment, Equity and Resilience (CEER)",,Instagram Posts,,From an advertisement,,Please type a number,75,Black or African American,,No,"I have a disability,LGBTQIA+ ",Over 20 years,Bachelor's Degree,$15000-$24999,I do not rent or own my home.,Houston,77016
English,30339454,731,"Neighborhood beautification,Improved air quality,Recreation",,"Long-standing water bodies,A creek nearby,Wildlife commonly found near water",,No,Rarely (once a year or less),Rarely (once a year or less),"Heavy rainfall or storms,Blocked or clogged drainage systems,Increased development or urbanization",,$0 ,Less than or at ankle level,Mental health impact,,Only my landlord can take action to address or reduce flooding at my residence,,I have not seen any of the GSI examples in my community,Rain garden,Urban forestry,Large park,3,2,1,Yes,Yes,Yes,Harris County Flood Control District (HCFCD),,Slight trust,"Attracting unwanted pests,Increased taxes",,Not at all satisfied,More detailed information about flood preparedness,,"Better information sharing,Involving local schools and community groups,Host more regular and diverse community meetings representative of the community",,I rarely attend meetings,Not at all involved,I am not part of any organizations focused on drainage and flooding issues,,Facebook Posts,,From a family member,,Please type a number,39,Other:,,No,None of the above,Less than a year,Bachelor's Degree,$75000-$99999,I rent my home.,Houston,77020
English,30388988,3826,"Neighborhood beautification,Improved air quality,Improved soil quality",,Long-standing water bodies,,Yes,Sometimes (once every 2-6 months),Rarely (once a year or less),"Heavy rainfall or storms,Blocked or clogged drainage systems,Nearby waterways overflowing",,I do not know,Less than or at ankle level,Prevented or delayed access to essential services,,I have not taken any measures to address or reduce flooding,,"Bioswale,Nature-based detention pond,Pocket wetland",I prefer not to implement small-scale GSI in my community,Nature-based detention pond,I prefer not to implement large-scale GSI in my community,,3,,Yes,Yes,Yes,Harris County Flood Control District (HCFCD),,Slight trust,"Equity in implementation,High installment costs,Increased taxes",,There is no information available,"More frequent updates on local flood risks,More detailed information about flood preparedness,Better access to emergency resources and assistance,Improved use of technology for flood risk information",,"Better information sharing,Compensation for time,Host more regular and diverse community meetings representative of the community,Providing child care",,"I never attend meetings, although they are available",Not at all involved,I am not part of any organizations focused on drainage and flooding issues,,Newspaper articles/Flyers,,From a neighbor,,Please type a number,65,Black or African American,,No,I have a disability,11-20 years,Prefer not to answer,Prefer not to answer,I do not rent or own my home.,Houston,77026
English,13316942,313,"Neighborhood beautification,Increased property value,Recreation",,A drainage ditch nearby,,Yes,Rarely (once a year or less),Rarely (once a year or less),Inadequate stormwater infrastructure size,,$1000-$5000,Between ankle and knee level,Mental health impact,,Requested assistance from local government to improve drainage,,Permeable pavement,Rainwater harvesting,"Nature-based detention pond,Pocket wetland",Wetland restoration (inland or coastal),,2,,Yes,Yes,Yes,State of Texas,,Slight trust,Displacement due to environmental projects,,Moderately satisfied,More targeted outreach to vulnerable populations,,Establishing community advisory boards,,I occasionally attend meetings,Moderately involved,"Coalition for Environment, Equity and Resilience (CEER)",,Facebook Posts,,From a co-worker,,Please type a number,27,Native Hawaiian or Other Pacific Islander,,No,I live in a non-English proficient household,6-10 years,High school diploma or equivalent,<$10000,I own my home.,Houston,77093
English,26363374,1625,"Improved air quality,Improved stormwater quality,Improved soil quality",,"Long-standing water bodies,A drainage ditch nearby,A creek nearby",,Yes,Often (At least once a month),Rarely (once a year or less),"Blocked or clogged drainage systems,Inadequate stormwater infrastructure size,Aging infrastructure",,<$500,Less than or at ankle level,Prevented or delayed access to essential services,,"Requested assistance from local government to improve drainage,Engaged with local authorities around flooding issues",,Nature-based detention pond,Bioswale,Urban forestry,Wetland conservation,3,2,1,Yes,Yes,Yes,Harris County Flood Control District (HCFCD),,Moderate trust,Equity in implementation,,Very satisfied,"More frequent updates on local flood risks,More detailed information about flood preparedness,Better access to emergency resources and assistance,Increased opportunities for community feedback,Enhanced coordination with other local organizations/agencies,More targeted outreach to vulnerable populations",,"Better information sharing,Establishing community advisory boards,Involving local schools and community groups,Providing resources for community action,Host more regular and diverse community meetings representative of the community",,I attend most meetings,Very involved,"Bayou City Waterkeeper (BCWK),Coalition for Environment, Equity and Resilience (CEER)",,Newspaper articles/Flyers,,From a family member,,Please type a number,65,Black or African American,,No,None of the above,1-5 years,High school diploma or equivalent,$15000-$24999,I own my home.,Houston,77026
English,8557198,932,"Improved air quality,Improved stormwater quality,Stress reduction",,"Long-standing water bodies,Aquatic (water) plants,Consistently-saturated soil",(1) Lake Houston Flatwood Wetlands,Yes,Sometimes (once every 2-6 months),Often (At least once a month),"Heavy rainfall or storms,Blocked or clogged drainage systems,Inadequate stormwater infrastructure size",,$5000-$10000,Between ankle and knee level,"Property damage,Loss of work or income,Displacement from home,Interruption of utility services",,Requested assistance from local government to improve drainage,,"Nature-based detention pond,Large park,Wetland conservation",Rainwater harvesting,Nature-based detention pond,"Wetland conservation,Wetland restoration (inland or coastal)",1,2,3,Yes,Yes,Yes,City of Houston and other Municipalities (Municipal Utility District MUDs),,No trust,"Attracting unwanted pests,Equity in implementation,Displacement due to environmental projects,Space requirements",,Not at all satisfied,"More frequent updates on local flood risks,Better access to emergency resources and assistance,Enhanced coordination with other local organizations/agencies,More targeted outreach to vulnerable populations",,"Better information sharing,Providing resources for community action",,I attend most meetings,Very involved,Bayou City Waterkeeper (BCWK),,Facebook Posts,,From a neighbor,,Please type a number,39,White,,No,Prefer not to answer,1-5 years,Some college,$35000-$49999,I rent my home.,Houston,77020
English,20336354,804,Neighborhood beautification,,A drainage ditch nearby,I am not sure which critical wetland is located upstream of me.,No,Always (every time it rains),Often (At least once a month),"Blocked or clogged drainage systems,Inadequate stormwater infrastructure size,Aging infrastructure",,$0 ,Less than or at ankle level,Prevented or delayed access to essential services,,Raised the foundation of my house,,I have not seen any of the GSI examples in my community,I prefer not to implement small-scale GSI in my community,I prefer not to implement mid-scale GSI in my community,I prefer not to implement large-scale GSI in my community,1,2,3,I don't know,I don't know,I don't know,City of Houston and other Municipalities (Municipal Utility District MUDs),,No trust,Increased taxes,,Not at all satisfied,Increased opportunities for community feedback,,Establishing community advisory boards,,I attend most meetings,Somewhat involved,"West Street Recovery (WSR),Northeast Action Collective (NAC)",,Facebook Posts,,From a neighbor,,Please type a number,62,Black or African American,,No,I have a disability,1-5 years,High school diploma or equivalent,$10000-$14999,I rent my home.,Houston,77016
Spanish,44664399,1898,"Neighborhood beautification,Improved stormwater quality,Recreation",,Consistently-saturated soil,,No,Never,Rarely (once a year or less),"Heavy rainfall or storms,Blocked or clogged drainage systems,Inadequate stormwater infrastructure size",,<$500,Less than or at ankle level,I have not experienced any of these events,,I have not taken any measures to address or reduce flooding,,I have not seen any of the GSI examples in my community,Permeable pavement,I prefer not to implement mid-scale GSI in my community,Wetland conservation,,1,,Yes,Yes,Yes,State of Texas,,Moderate trust,High installment costs,,There is no information available,More frequent updates on local flood risks,,Better information sharing,,I attend all meetings,Somewhat involved,Bayou City Waterkeeper (BCWK),,Facebook Posts,,From a family member,,Please type a number,74,White,,Yes,None of the above,Over 20 years,High school diploma or equivalent,Prefer not to answer,I do not rent or own my home.,Baytown,77520
English,27442178,1899,"Improved air quality,Improved stormwater quality,Recreation",,"Aquatic (water) plants,Wildlife commonly found near water",(2) Greater Lake Creek,Yes,Never,Never,"Blocked or clogged drainage systems,Inadequate stormwater infrastructure size,Aging infrastructure",,$0 ,Not applicable (no experiences with flooding),I have not experienced any of these events,,Not applicable (flooding has not affected my residence) ,,"Bioswale,Nature-based detention pond,Large park,Permeable pavement,Pocket prairie,Pocket wetland,Rain garden,Rainwater harvesting,Urban forestry,Wetland conservation,Wetland restoration (coastal or inland)","Bioswale,Permeable pavement,Rain garden","Nature-based detention pond,Pocket prairie,Pocket wetland,Urban forestry","Large park,Wetland conservation,Wetland restoration (inland or coastal)",3,2,1,Yes,Yes,Yes,Harris County Flood Control District (HCFCD),,Moderate trust,"Attracting unwanted pests,High installment costs,Increased taxes,Maintenance issues",,Slightly satisfied,"More frequent updates on local flood risks,More detailed information about flood preparedness,Better access to emergency resources and assistance,Improved use of technology for flood risk information",,"Better information sharing,Involving local schools and community groups,Compensation for time,Host more regular and diverse community meetings representative of the community,Providing multilingual interpretation services",,I rarely attend meetings,Not at all involved,I am not part of any organizations focused on drainage and flooding issues,,Facebook Posts,,From a family member,,Please type a number,57,White,,Yes,None of the above,Over 20 years,Bachelor's Degree,$50000-$74999,I own my home.,Baytown,77520
English,1980014,3571,"Improved air quality,Improved stormwater quality,Other:",,"Long-standing water bodies,A drainage ditch nearby,A creek nearby",I am not sure which critical wetland is located upstream of me.,I do not know,Never,Never,"Heavy rainfall or storms,Aging infrastructure",,<$500,Less than or at ankle level,Property damage,,Installed flood barriers or sandbags around my property,,I have not seen any of the GSI examples in my community,Rain garden,,I prefer not to implement large-scale GSI in my community,,1,,Yes,Yes,Yes,State of Texas,,,High installment costs,,Not at all satisfied,More frequent updates on local flood risks,,,,,Somewhat involved,My local neighborhood association or homeowners association (HOA),,Community bulletin posts,,From a neighbor,,Please type a number,71,Black or African American,,No,None of the above,Over 20 years,High school diploma or equivalent,<$10000,I own my home.,Houston,77020
Spanish,29838112,2205,"Neighborhood beautification,Improved stormwater quality,Recreation",,"Long-standing water bodies,Aquatic (water) plants,Wildlife commonly found near water,Consistently-saturated soil",(1) Lake Houston Flatwood Wetlands,Yes,Never,Never,"Blocked or clogged drainage systems,Aging infrastructure,Increased development or urbanization",,I do not know,Not applicable (no experiences with flooding),Interruption of utility services,,Not applicable (flooding has not affected my residence) ,,"Nature-based detention pond,Large park","Bioswale,Rain garden",I prefer not to implement mid-scale GSI in my community,"Large park,Wetland conservation",3,2,1,Yes,Yes,Yes,City of Houston and other Municipalities (Municipal Utility District MUDs),,Moderate trust,"Equity in implementation,Increased taxes,Maintenance issues,Space requirements",,Slightly satisfied,"More frequent updates on local flood risks,Better access to emergency resources and assistance,Increased opportunities for community feedback",,"Involving local schools and community groups,Compensation for time,Host more regular and diverse community meetings representative of the community,Providing multilingual interpretation services",,There are no meetings available related to this topic,Not at all involved,I am not part of any organizations focused on drainage and flooding issues,,Newspaper articles/Flyers,,From an advertisement,,Prefer not to answer,,White,,Yes,None of the above,Over 20 years,Less than a high school diploma or equivalent,$25000-$34999,I rent my home.,Houston,77076
English,38858685,1245,Improved stormwater quality,,Consistently-saturated soil,(2) Greater Lake Creek,Yes,Always (every time it rains),Always (every time it rains),"Blocked or clogged drainage systems,Inadequate stormwater infrastructure size,Aging infrastructure",,$0 ,Less than or at ankle level,Mental health impact,,Only my landlord can take action to address or reduce flooding at my residence,,I have not seen any of the GSI examples in my community,"Bioswale,Permeable pavement,Rainwater harvesting","Nature-based detention pond,Urban forestry","Large park,Wetland conservation",,,3,Yes,Yes,Yes,State of Texas,,Above average trust,"Attracting unwanted pests,Increased taxes,Maintenance issues",,Moderately satisfied,"More frequent updates on local flood risks,More detailed information about flood preparedness,Better access to emergency resources and assistance,Increased opportunities for community feedback,Enhanced coordination with other local organizations/agencies,More targeted outreach to vulnerable populations,Improved use of technology for flood risk information",,"Better information sharing,Providing resources for community action,Host more regular and diverse community meetings representative of the community,Providing multilingual interpretation services",,I occasionally attend meetings,Not at all involved,I am not part of any organizations focused on drainage and flooding issues,,Community bulletin posts,,Other:,Bystander at the grocery store ,Please type a number,55,Black or African American,,No,None of the above,6-10 years,Some college,<$10000,I rent my home.,Houston,77028
English,29694569,1963,"Improved air quality,Improved soil quality,Recreation",,"Long-standing water bodies,A drainage ditch nearby,Consistently-saturated soil",(2) Greater Lake Creek,I do not know,Rarely (once a year or less),Sometimes (once every 2-6 months),"Blocked or clogged drainage systems,Increased development or urbanization,Nearby waterways overflowing",,$1000-$5000,Between ankle and knee level,"Property damage,Prevented or delayed access to essential services,Interruption of utility services",,"Only my landlord can take action to address or reduce flooding at my residence,Other:",We had to dig in order for the water to go in our yard ,"Nature-based detention pond,Large park,Permeable pavement,Rainwater harvesting,Urban forestry","Permeable pavement,Rain garden,Rainwater harvesting","Pocket wetland,Urban forestry","Large park,Wetland conservation",,,2,Yes,Yes,Yes,Harris County Flood Control District (HCFCD),,Moderate trust,"Increased taxes,Maintenance issues",,Slightly satisfied,"More frequent updates on local flood risks,More detailed information about flood preparedness,Enhanced coordination with other local organizations/agencies,Improved use of technology for flood risk information",,"Better information sharing,Establishing community advisory boards,Involving local schools and community groups,Providing resources for community action,Host more regular and diverse community meetings representative of the community,Providing multilingual interpretation services",,I attend most meetings,Moderately involved,My local neighborhood association or homeowners association (HOA),,Instagram Posts,,From Bayou City Waterkeeper,,Please type a number,44,White,,Yes,Prefer not to answer,Prefer not to answer,High school diploma or equivalent,$25000-$34999,I rent my home.,Houston,77016
English,35132652,920,"Improved stormwater quality,Recreation,Stress reduction",,"Long-standing water bodies,Consistently-saturated soil",(1) Lake Houston Flatwood Wetlands,No,Sometimes (once every 2-6 months),Sometimes (once every 2-6 months),Blocked or clogged drainage systems,,$5000-$10000,Less than or at ankle level,Mental health impact,,Installed flood barriers or sandbags around my property,,"Nature-based detention pond,Large park,Rainwater harvesting",Rainwater harvesting,Nature-based detention pond,Large park,3,2,1,Yes,Yes,Yes,City of Houston and other Municipalities (Municipal Utility District MUDs),,Moderate trust,"Attracting unwanted pests,Maintenance issues",,Moderately satisfied,More frequent updates on local flood risks,,"Better information sharing,Involving local schools and community groups",,I occasionally attend meetings,Somewhat involved,My local neighborhood association or homeowners association (HOA),,Phone Calls,,Other:,Camille Boyd,Please type a number,60,White,,No,I have a disability,11-20 years,Associate's Degree or Technical Degree/Certification,Prefer not to answer,I own my home.,Houston,77016
English,7651902,1794,Improved stormwater quality,,A drainage ditch nearby,(1) Lake Houston Flatwood Wetlands,Yes,Sometimes (once every 2-6 months),Often (At least once a month),"Heavy rainfall or storms,Blocked or clogged drainage systems,Inadequate stormwater infrastructure size",,$500-$1000,Between ankle and knee level,Mental health impact,,"Requested assistance from local government to improve drainage,Engaged with local authorities around flooding issues",,I have not seen any of the GSI examples in my community,"Bioswale,Rain garden,Rainwater harvesting","Nature-based detention pond,Urban forestry","Large park,Wetland conservation",,,3,Yes,Yes,Yes,City of Houston and other Municipalities (Municipal Utility District MUDs),,Moderate trust,Equity in implementation,,Moderately satisfied,Better access to emergency resources and assistance,,Better information sharing,,I attend most meetings,Somewhat involved,"Coalition for Environment, Equity and Resilience (CEER)",,Newspaper articles/Flyers,,From Bayou City Waterkeeper,,Please type a number,77,Black or African American,,,None of the above,Over 20 years,Some college,Prefer not to answer,I own my home.,Houston,77020
English,23553992,2985,"Neighborhood beautification,Recreation,Stress reduction",,"Long-standing water bodies,A creek nearby",I am not sure which critical wetland is located upstream of me.,No,Rarely (once a year or less),Rarely (once a year or less),"Heavy rainfall or storms,Aging infrastructure,Increased development or urbanization",,$5000-$10000,Less than or at ankle level,Increased cost for repairs or flood proofing,,I have not taken any measures to address or reduce flooding,,I have not seen any of the GSI examples in my community,"Permeable pavement,Rain garden,Rainwater harvesting",,,3,2,1,Yes,Yes,Yes,Harris County Flood Control District (HCFCD),,Above average trust,"Equity in implementation,Displacement due to environmental projects,Lack of educational resources for the community,Maintenance issues",,There is no information available,"More frequent updates on local flood risks,Increased opportunities for community feedback,More targeted outreach to vulnerable populations",,"Better information sharing,Establishing community advisory boards,Compensation for time,Host more regular and diverse community meetings representative of the community",,I attend most meetings,Somewhat involved,"West Street Recovery (WSR),Coalition for Environment, Equity and Resilience (CEER)",,Phone Calls,,From a neighbor,,Please type a number,74,Black or African American,,No,None of the above,Over 20 years,Bachelor's Degree,<$10000,I own my home.,Houston,77020
English,41416102,685,"Neighborhood beautification,Improved air quality",,,,I do not know,Sometimes (once every 2-6 months),Sometimes (once every 2-6 months),"Heavy rainfall or storms,Blocked or clogged drainage systems",,$1000-$5000,Between ankle and knee level,Interruption of utility services,,Not applicable (flooding has not affected my residence) ,,I have not seen any of the GSI examples in my community,I prefer not to implement small-scale GSI in my community,I prefer not to implement mid-scale GSI in my community,I prefer not to implement large-scale GSI in my community,1,2,3,Yes,I don't know,Prefer not to answer,I do not know,,No trust,Lack of educational resources for the community,,There is no information available,Improved use of technology for flood risk information,,"Compensation for time,Providing multilingual interpretation services",,There are no meetings available related to this topic,Not at all involved,I am not part of any organizations focused on drainage and flooding issues,,Word of mouth,,From a family member,,Please type a number,70,Black or African American,,No,,11-20 years,Prefer not to answer,<$10000,I own my home.,Houston,77016
English,41873668,1675,Other:,Road reconstruction.  Potholes and street problems,"Long-standing water bodies,A drainage ditch nearby",,Yes,Rarely (once a year or less),Often (At least once a month),"Blocked or clogged drainage systems,Inadequate stormwater infrastructure size,Aging infrastructure",,<$500,Less than or at ankle level,Property damage,,Other:,"I've had yard repairs (added soil), house leveling",Permeable pavement,Permeable pavement,I prefer not to implement mid-scale GSI in my community,I prefer not to implement large-scale GSI in my community,1,2,3,Yes,Yes,Yes,Harris County Flood Control District (HCFCD),,Moderate trust,"Attracting unwanted pests,Maintenance issues",,Not at all satisfied,"Better access to emergency resources and assistance,Increased opportunities for community feedback,More targeted outreach to vulnerable populations",,"Better information sharing,Involving local schools and community groups,Providing resources for community action",,I attend most meetings,Not at all involved,"Coalition for Environment, Equity and Resilience (CEER)",,Community bulletin posts,,Other:,CEER,Please type a number,65,Black or African American,,No,I have a disability,11-20 years,High school diploma or equivalent,$25000-$34999,I own my home.,Houston,77028
English,33418808,634,"Neighborhood beautification,Recreation,Stress reduction",,"Aquatic (water) plants,A drainage ditch nearby,Consistently-saturated soil",,Yes,Sometimes (once every 2-6 months),Sometimes (once every 2-6 months),"Heavy rainfall or storms,Blocked or clogged drainage systems,Nearby waterways overflowing",,<$500,Between ankle and knee level,"Property damage,Loss of work or income,Displacement from home",,Requested assistance from local government to improve drainage,,Large park,Rain garden,"Nature-based detention pond,Pocket prairie,Pocket wetland",,2,,,Yes,Yes,Yes,Harris County Flood Control District (HCFCD),,Slight trust,Displacement due to environmental projects,,Very satisfied,Better access to emergency resources and assistance,,Providing resources for community action,,I occasionally attend meetings,Somewhat involved,"Coalition for Environment, Equity and Resilience (CEER)",,Facebook Posts,,From a family member,,Please type a number,50,Black or African American,,No,None of the above,6-10 years,High school diploma or equivalent,<$10000,I rent my home.,Houston,77026
English,38625054,1609,"Neighborhood beautification,Improved stormwater quality,Stress reduction",,"Long-standing water bodies,A drainage ditch nearby,Consistently-saturated soil",I am not sure which critical wetland is located upstream of me.,Yes,Sometimes (once every 2-6 months),Sometimes (once every 2-6 months),"Heavy rainfall or storms,Blocked or clogged drainage systems,Inadequate stormwater infrastructure size",,$0 ,Less than or at ankle level,"Loss of work or income,Prevented or delayed access to essential services,Interruption of utility services",,Only my landlord can take action to address or reduce flooding at my residence,,I have not seen any of the GSI examples in my community,Rainwater harvesting,Pocket wetland,I prefer not to implement large-scale GSI in my community,,2,1,I don't know,I don't know,Prefer not to answer,Local city planning departments,,Slight trust,High installment costs,,Slightly satisfied,More frequent updates on local flood risks,,Involving local schools and community groups,,I attend most meetings,Somewhat involved,Northeast Action Collective (NAC),,Community bulletin posts,,From a neighbor,,Please type a number,53,Black or African American,,No,None of the above,6-10 years,Prefer not to answer,<$10000,I do not rent or own my home.,Houston,77020
English,35158163,671,"Neighborhood beautification,Improved stormwater quality,Recreation",,I do not know,(2) Greater Lake Creek,No,Rarely (once a year or less),Rarely (once a year or less),"Heavy rainfall or storms,Aging infrastructure,Nearby waterways overflowing",,<$500,Between ankle and knee level,Property damage,,Installed flood barriers or sandbags around my property,,Large park,Rain garden,Pocket prairie,Large park,1,2,3,Yes,Yes,Yes,City of Houston and other Municipalities (Municipal Utility District MUDs),,Slight trust,Equity in implementation,,Slightly satisfied,Increased opportunities for community feedback,,Better information sharing,,I occasionally attend meetings,Not at all involved,Bayou City Waterkeeper (BCWK),,Facebook Posts,,From a family member,,Please type a number,70,Black or African American,,No,None of the above,1-5 years,High school diploma or equivalent,<$10000,,Houston,77020
